instance,algorithm,objective,time_sec,optimality_gap_%,opened_facilities_count,num_facilities,num_customers
cap122.txt,strong,851495.3250000001,0.07925164200059953,-,11,50,50
cap122.txt,weak,851495.3250000001,0.16417189500134555,-,11,50,50
cap122.txt,strong_rl,851495.3250000001,0.07075629400060279,-,-1,50,50
cap122.txt,weak_rl,636321.4500000001,0.0632351939984801,-,-1,50,50
cap122.txt,erlenkotter,851495.3250000001,0.008584700000938028,0.0,11,50,50
cap122.txt,greedy,862753.375,0.002242439999463386,1.32,12,50,50
cap124.txt,strong,928941.7500000001,0.08019027299997106,-,4,50,50
cap124.txt,weak,928941.7500000001,0.1128005310001754,-,4,50,50
cap124.txt,strong_rl,928941.7500000001,0.06853790300010587,-,-1,50,50
cap124.txt,weak_rl,648426.3,0.06275817899950198,-,-1,50,50
cap124.txt,erlenkotter,928941.75,0.009407733999978518,-0.0,4,50,50
cap124.txt,greedy,948299.9500000001,0.001063802001226577,2.08,5,50,50
cap131.txt,strong,793439.5625000001,0.07656818800023757,-,15,50,50
cap131.txt,weak,793439.5625000001,0.08946093200029281,-,15,50,50
cap131.txt,strong_rl,793439.5625000001,0.06705760800105054,-,-1,50,50
cap131.txt,weak_rl,631421.4500000001,0.05492049600070459,-,-1,50,50
cap131.txt,erlenkotter,793439.5625000001,0.0062900319990149,0.0,15,50,50
cap131.txt,greedy,799290.3500000001,0.002421868999590515,0.74,15,50,50
cap132.txt,strong,851495.3250000001,0.07451829599995108,-,11,50,50
cap132.txt,weak,851495.3250000001,0.10148962799939909,-,11,50,50
cap132.txt,strong_rl,851495.3250000001,0.08449162099896057,-,-1,50,50
cap132.txt,weak_rl,636321.4500000001,0.0522711600006005,-,-1,50,50
cap132.txt,erlenkotter,851495.3250000001,0.007882145000621676,0.0,11,50,50
cap132.txt,greedy,862753.375,0.0027968279991910094,1.32,12,50,50
cap134.txt,strong,928941.7500000001,0.07247621700116724,-,4,50,50
cap134.txt,weak,928941.7500000001,0.12837084399870946,-,4,50,50
cap134.txt,strong_rl,928941.7500000001,0.06667105999986234,-,-1,50,50
cap134.txt,weak_rl,648426.3,0.0621407509988785,-,-1,50,50
cap134.txt,erlenkotter,928941.75,0.009495192000031238,-0.0,4,50,50
cap134.txt,greedy,948299.9500000001,0.0015439809994859388,2.08,5,50,50
